K,setup,scheme,sum_se,mean_se,tau_p_actual,ee_bps_per_hz_per_watt
25,42,Hybrid#3 (TopAP N=8 adaptive),150.955726270394,6.03822905081576,7,1.8838069002129039
25,42,MJH weighted-count strict,158.42657765533548,6.337063106213419,2,2.976358035920759
25,42,MJH beam-resource matching,155.61410317577182,6.224564127030873,3,2.9235201147716783
25,43,Random,159.807322603323,6.39229290413292,10,1.7122213136070326
25,43,Gao matching,159.8412948728873,6.393651794915492,10,1.712585302209507
25,43,Mussbah,166.12297049987248,6.644918819994899,6,3.1294751114575665
25,43,Hybrid#3 (TopAP N=8 adaptive),162.89242134558816,6.515696853823527,9,2.053913056790016
25,43,MJH weighted-count strict,172.16998545125136,6.886799418050055,3,3.243390620745709
25,43,MJH beam-resource matching,171.22319656652255,6.848927862660902,4,3.2255547233881803
25,44,Random,128.0091490541453,5.1203659621658115,10,1.3715265970086998
25,44,Gao matching,125.04635707778274,5.00185428311131,10,1.3397823972619582
25,44,Mussbah,135.07283798536008,5.402913519414403,4,2.6439077020590496
25,44,Hybrid#3 (TopAP N=8 adaptive),129.25742925271808,5.170297170108723,8,1.6130294831869982
25,44,MJH weighted-count strict,137.74334980355783,5.509733992142313,2,2.6961801416544775
25,44,MJH beam-resource matching,137.51396641128886,5.500558656451554,3,2.6916902047686464
25,45,Random,156.64518615881295,6.265807446352518,10,1.6783412802729962
25,45,Gao matching,156.37654724991296,6.255061889996519,10,1.6754630062490679
25,45,Mussbah,164.5688163467886,6.582752653871544,5,3.276740220617016
25,45,Hybrid#3 (TopAP N=8 adaptive),160.7595475688421,6.430381902753684,7,1.889436406293933
25,45,MJH weighted-count strict,169.61009318760443,6.784403727504177,2,3.3771174060052656
25,45,MJH beam-resource matching,167.68279427683458,6.707311771073384,4,3.3387428342105516
25,46,Random,136.39692801096518,5.455877120438608,10,1.4613956572603415
25,46,Gao matching,136.4665344364151,5.458661377456604,10,1.462141440390162
25,46,Mussbah,144.66219552756968,5.786487821102787,4,3.13778169751073
25,46,Hybrid#3 (TopAP N=8 adaptive),139.87079185576667,5.594831674230667,7,1.7276886281721053
25,46,MJH weighted-count strict,146.80847321380222,5.872338928552089,2,3.1843353310780613
25,46,MJH beam-resource matching,148.00979853538865,5.920391941415546,3,3.2103925645735374
25,47,Random,166.28739034693496,6.651495613877398,10,1.7816506108600176
25,47,Gao matching,166.91740596118618,6.676696238447447,10,1.7884007781555666
25,47,Mussbah,177.8345039662744,7.113380158650976,3,3.3368996240857096
25,47,Hybrid#3 (TopAP N=8 adaptive),170.14677007071091,6.805870802828436,8,1.9805618787938029
25,47,MJH weighted-count strict,179.26659907140433,7.170663962856173,2,3.3637715612597763
25,47,MJH beam-resource matching,177.72277193591253,7.108910877436501,3,3.3348030761054392
25,48,Random,167.83881663535638,6.713552665414255,10,1.7982730353788188
25,48,Gao matching,167.91198464120046,6.716479385648018,10,1.7990569782985768
25,48,Mussbah,181.89721017695481,7.275888407078193,4,3.7355670217063563
25,48,Hybrid#3 (TopAP N=8 adaptive),175.6737510966128,7.026950043864511,6,2.0849421552362317
25,48,MJH weighted-count strict,180.71266328397616,7.228506531359046,3,3.711240346741022
25,48,MJH beam-resource matching,180.44187301600653,7.217674920640261,3,3.705679210350627
25,49,Random,143.84564452447282,5.753825780978913,9,1.5412033341907805
25,49,Gao matching,140.8737739073913,5.6349509562956515,10,1.5093618632934784
25,49,Mussbah,152.93921003854138,6.117568401541655,4,2.9265994585592354
25,49,Hybrid#3 (TopAP N=8 adaptive),146.84815146973833,5.873926058789533,7,1.7776433144727732
25,49,MJH weighted-count strict,155.62987612694283,6.225195045077713,2,2.9780872484824017
25,49,MJH beam-resource matching,152.8525799501571,6.114103198006283,4,2.924941730827436
30,0,Random,148.3996275946875,4.94665425315625,10,1.5539228020386129
30,0,Gao matching,148.61182533730772,4.95372751124359,10,1.556144767929924
30,0,Mussbah,156.6264637152072,5.22088212384024,5,2.6461642796960163
30,0,Hybrid#3 (TopAP N=8 adaptive),152.14760624920442,5.07158687497348,8,1.665090082070637
30,0,MJH weighted-count strict,162.10025648263743,5.403341882754581,2,2.738642616702778
30,0,MJH beam-resource matching,162.77804653250587,5.425934884416862,3,2.7500937072563927
30,1,Random,167.89115238974432,5.59637174632481,10,1.7580225381125063
30,1,Gao matching,168.66500731823905,5.622166910607969,10,1.7661257310810374
30,1,Mussbah,177.91022060641544,5.930340686880514,4,3.0879149632285947
30,1,Hybrid#3 (TopAP N=8 adaptive),169.34923469451266,5.644974489817089,9,1.8874252961216236
30,1,MJH weighted-count strict,183.06589647187235,6.102196549062412,2,3.1773999214071402
30,1,MJH beam-resource matching,178.99660444252376,5.966553481417459,3,3.106770883320729
30,2,Random,181.325360763931,6.044178692131033,10,1.8986948771092254
30,2,Gao matching,182.1297743645068,6.070992478816893,10,1.9071180561728465
30,2,Mussbah,194.87266091866738,6.495755363955579,4,3.1114906740965576
30,2,Hybrid#3 (TopAP N=8 adaptive),183.4691568404669,6.115638561348897,9,2.063770043199853
30,2,MJH weighted-count strict,199.26589293244177,6.642196431081392,1,3.181636483034357
30,2,MJH beam-resource matching,196.36708016487825,6.545569338829275,3,3.1353517509959805
